ISBN.10,ISBN.13,Language,author,image_url,name,review_url,url
385541996,978-0385541992,english,Edgar Cantero,"https://images-na.ssl-images-amazon.com/images/I/51uOJKNkJlL._SX328_BO1,204,203,200_.jpg",Meddling Kids: A Novel,https://www.amazon.com/Meddling-Kids-Novel-Edgar-Cantero/product-reviews/0385541996/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Meddling-Kids-Novel-Edgar-Cantero/dp/0385541996
345511352,978-0345511355,english,Drew Karpyshyn,"https://images-na.ssl-images-amazon.com/images/I/51b37l%2BzowL._SY344_BO1,204,203,200_.jpg",Star Wars: The Old Republic - Revan (Star Wars: The Old Republic - Legends),https://www.amazon.com/Star-Wars-Republic-Revan-Legends/product-reviews/0345511352/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Star-Wars-Republic-Revan-Legends/dp/0345511352
60734191,978-0060734190,english,Garth Nix,"https://images-na.ssl-images-amazon.com/images/I/5181GaanwuL._SX352_BO1,204,203,200_.jpg",The Abhorsen Trilogy Box Set (Old Kingdom),https://www.amazon.com/Abhorsen-Trilogy-Box-Set-Kingdom/product-reviews/0060734191/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Abhorsen-Trilogy-Box-Set-Kingdom/dp/0060734191
1101974494,978-1101974490,english,Michael Crichton,"https://images-na.ssl-images-amazon.com/images/I/51ULdy651EL._SY344_BO1,204,203,200_.jpg",The Andromeda Strain,https://www.amazon.com/Andromeda-Strain-Michael-Crichton/product-reviews/1101974494/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Andromeda-Strain-Michael-Crichton/dp/1101974494
1941040896,978-1941040898,english,Joy Williams,"https://images-na.ssl-images-amazon.com/images/I/51PtoQefUPL._SY344_BO1,204,203,200_.jpg",The Changeling,https://www.amazon.com/Changeling-Joy-Williams/product-reviews/1941040896/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Changeling-Joy-Williams/dp/1941040896
316300349,978-0316300346,english,M. R. Carey,"https://images-na.ssl-images-amazon.com/images/I/51C8%2BhxKyEL._SX345_BO1,204,203,200_.jpg",The Boy on the Bridge,https://www.amazon.com/Boy-Bridge-M-R-Carey/product-reviews/0316300349/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Boy-Bridge-M-R-Carey/dp/0316300349
1546368590,978-1546368595,english,Bella Forrest,"https://images-na.ssl-images-amazon.com/images/I/51JVsBQDUEL._SX329_BO1,204,203,200_.jpg",The Gender Game 7: The Gender End (Volume 7),https://www.amazon.com/Gender-Game-End/product-reviews/1546368590/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Gender-Game-End/dp/1546368590
140444300,978-0140444308,english,Victor Hugo,"https://images-na.ssl-images-amazon.com/images/I/51B5fe%2BQl6L._SX321_BO1,204,203,200_.jpg",Les Miserables (Penguin Classics),https://www.amazon.com/Miserables-Penguin-Classics-Victor-Hugo/product-reviews/0140444300/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Miserables-Penguin-Classics-Victor-Hugo/dp/0140444300
316376817,978-0316376815,english,Reki Kawahara,"https://images-na.ssl-images-amazon.com/images/I/61pkEhzoVwL._SY344_BO1,204,203,200_.jpg","Sword Art Online, Vol. 2: Aincrad",https://www.amazon.com/Sword-Art-Online-Vol-Aincrad/product-reviews/0316376817/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Sword-Art-Online-Vol-Aincrad/dp/0316376817
1593073283,978-1593073282,english,Kentaro Miura,"https://images-na.ssl-images-amazon.com/images/I/51zGc3URaqL._SX351_BO1,204,203,200_.jpg","Berserk, Vol. 7",https://www.amazon.com/Berserk-Vol-7-Kentaro-Miura/product-reviews/1593073283/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Berserk-Vol-7-Kentaro-Miura/dp/1593073283
